Title,Location,Time,Start
Snowplow Sam 1 (3-5 yrs)                ,Mount Vernon RECenter                   ,5pm Mon                                                                                              ,4/30/2018
Snowplow Sam 2 (3-5 yrs)                ,Mount Vernon RECenter                   ,4pm Mon                                                                                              ,4/30/2018
Stroke Mechanics III (9-15 yrs.)        ,South Run RECenter                      ,6pm Mon/Wed                                                                                          ,4/30/2018
Stroke Mechanics III (9-15 yrs.)        ,South Run RECenter                      ,7pm Mon/Wed                                                                                          ,4/30/2018
Stroke Mechanics III (9-15 yrs.)        ,Audrey Moore RECenter                   ,8pm Mon/Wed                                                                                          ,4/30/2018
Stroke Mechanics IV (11-18 yrs.)        ,Oak Marr RECenter                       ,7:30pm Mon/Wed                                                                                       ,4/30/2018
Stroke Mechanics IV (11-18 yrs.)        ,South Run RECenter                      ,8pm Mon/Wed                                                                                          ,4/30/2018
Paddleboard Yoga (13-Adult)             ,South Run RECenter                      ,12:15pm Mon                                                                                          ,4/30/2018
Paddleboard Yoga (13-Adult)             ,South Run RECenter                      ,12:45pm Mon                                                                                          ,4/30/2018
Stroke Mechanics II (6-14 yrs.)         ,Oak Marr RECenter                       ,6:30pm Mon/Wed                                                                                       ,4/30/2018
Stroke Mechanics II (6-14 yrs.)         ,South Run RECenter                      ,7pm Mon/Wed                                                                                          ,4/30/2018
Basic 1 (6-13 yrs)                      ,Mount Vernon RECenter                   ,4:30pm Mon                                                                                           ,4/30/2018
Basic 1 (6-13 yrs)                      ,Mount Vernon RECenter                   ,5pm Mon                                                                                              ,4/30/2018
Basic 2 (6-13 yrs)                      ,Mount Vernon RECenter                   ,4:30pm Mon                                                                                           ,4/30/2018
Adult Introductory Skating (14-Adult)   ,Mount Vernon RECenter                   ,7:30pm Mon                                                                                           ,4/30/2018
Adult 1 (14-Adult)                      ,Mount Vernon RECenter                   ,7:30pm Mon                                                                                           ,4/30/2018
Adult 2 (14-Adult)                      ,Mount Vernon RECenter                   ,8pm Mon                                                                                              ,4/30/2018
Adult 3 (14-Adult)                      ,Mount Vernon RECenter                   ,8pm Mon                                                                                              ,4/30/2018
A Taste of Tea and History: Garden Herbs,Sully                                   ,1:30pm Sun                                                                                           ,4/29/2018
Coyotes Campfire                        ,Ellanor C. Lawrence Park                ,6:30pm Sun                                                                                           ,4/29/2018
Nature Quest-Spring                     ,Hidden Pond Nature Center               ,11am Mon                                                                                             ,4/30/2018
Little Acorns- Spring                   ,Hidden Oaks Nature Center               ,9:45am Mon                                                                                           ,4/30/2018
Little Acorns- Spring                   ,Hidden Oaks Nature Center               ,11am Mon                                                                                             ,4/30/2018
Swimming IV for Children (6-12 yrs.)    ,South Run RECenter                      ,8pm Mon/Wed                                                                                          ,4/30/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,6:20pm Mon/Wed                                                                                       ,4/30/2018
Swimming V for Children (6-12 yrs.)     ,Oak Marr RECenter                       ,6:20pm Mon/Wed                                                                                       ,4/30/2018
Swimming V for Children (6-12 yrs.)     ,South Run RECenter                      ,7pm Mon/Wed                                                                                          ,4/30/2018
Swimming VI for Children (6-12 yrs)     ,South Run RECenter                      ,6pm Mon/Wed                                                                                          ,4/30/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,8pm Mon/Wed                                                                                          ,4/30/2018
Swimming I - Teens & Adults (13-Adult)  ,South Run RECenter                      ,8:05pm Mon/Wed                                                                                       ,4/30/2018
Swimming III - Teens & Adults (13-Adult),Oak Marr RECenter                       ,8pm Mon/Wed                                                                                          ,4/30/2018
Advanced Lap Swim (13-Adult)            ,Oak Marr RECenter                       ,8:30pm Mon/Wed                                                                                       ,4/30/2018
Stroke Mechanics I (6-12 yrs.)          ,South Run RECenter                      ,8pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler V (4-6 yrs.)            ,Oak Marr RECenter                       ,5:45pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Swimming I for Children (6-12 yrs)      ,Oak Marr RECenter                       ,7:15pm Mon/Wed                                                                                       ,4/30/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Swimming II for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,5:30pm Mon/Wed                                                                                       ,4/30/2018
Basic 3 (6-13 yrs)                      ,Mount Vernon RECenter                   ,12pm Sun                                                                                             ,4/29/2018
Basic 2 (6-13 yrs)                      ,Mount Vernon RECenter                   ,12pm Sun                                                                                             ,4/29/2018
Basic 2 (6-13 yrs)                      ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Basic 1 Advanced (6-13 yrs)             ,Mount Vernon RECenter                   ,12pm Sun                                                                                             ,4/29/2018
Basic 1 (6-13 yrs)                      ,Mount Vernon RECenter                   ,12pm Sun                                                                                             ,4/29/2018
Basic 1 (6-13 yrs)                      ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Snowplow Sam 4 (3-5 yrs)                ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Snowplow Sam 3 (3-5 yrs)                ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Snowplow Sam 2 (3-5 yrs)                ,Mount Vernon RECenter                   ,12:35pm Sun                                                                                          ,4/29/2018
Snowplow Sam 2 (3-5 yrs)                ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Snowplow Sam 1 (3-5 yrs)                ,Mount Vernon RECenter                   ,12:35pm Sun                                                                                          ,4/29/2018
Snowplow Sam 1 (3-5 yrs)                ,Mount Vernon RECenter                   ,1:10pm Sun                                                                                           ,4/29/2018
Mom or Dad and Me (3-5 yrs)             ,Mount Vernon RECenter                   ,12:35pm Sun                                                                                          ,4/29/2018
Bird Study Merit Badge                  ,Ellanor C. Lawrence Park                ,1pm Sun                                                                                              ,4/29/2018
Camping Merit Badge                     ,Burke Lake Park                         ,1pm Sun                                                                                              ,4/29/2018
Reptile & Amphibian Merit Badge         ,Hidden Oaks Nature Center               ,1:30pm Sun                                                                                           ,4/29/2018
JGS-Gardener                            ,Ellanor C. Lawrence Park                ,3pm Sun                                                                                              ,4/29/2018
Wolf Elective Adv: Grow Something       ,Ellanor C. Lawrence Park                ,3pm Sun                                                                                              ,4/29/2018
Bear Adventure:Paws for Action          ,Sully                                   ,1pm Sun                                                                                              ,4/29/2018
CGS-Book Artist                         ,Historic Huntley                        ,2pm Sun                                                                                              ,4/29/2018
"Birds & Bats, Festival of Flight        ",Lake Accotink Park                      ,9am Sat                                                                                              ,4/28/2018
Communication Merit Badge               ,Clark House                             ,8am Sat                                                                                              ,4/28/2018
JGS-Gardener & Flowers Naturalist       ,Hidden Pond Nature Center               ,10am Sat                                                                                             ,4/28/2018
American Cultures Merit Badge           ,Sully                                   ,10am Sat                                                                                             ,4/28/2018
SGS-Novelist                            ,Ellanor C. Lawrence Park                ,3pm Sat                                                                                              ,4/28/2018
Brownies and Juniors Nature Night Out   ,Riverbend Park                          ,6pm Sat                                                                                              ,4/28/2018
JGS-Camper                              ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,4/28/2018
Weather Merit Badge                     ,Huntley Meadows Park                    ,12pm Sat                                                                                             ,4/28/2018
Astronomy Merit Badge                   ,Turner Farm Park                        ,5:30pm Sat                                                                                           ,4/28/2018
Floral Workshop: Pot-et-Fleur Supply Fee,Green Spring Gardens Park               ,12:58pm Sat                                                                                          ,4/28/2018
Floral Design Workshop:Pot-et-Fleur     ,Green Spring Gardens Park               ,1pm Sat                                                                                              ,4/28/2018
American Red Cross Lifeguard Trg 15+    ,Spring Hill RECenter                    ,8am Sun/Sat                                                                                          ,4/28/2018
Log Rolling Open Session Workshop       ,Mount Vernon RECenter                   ,3pm Sat                                                                                              ,4/28/2018
Log Rolling Open Session Workshop       ,Mount Vernon RECenter                   ,4pm Sat                                                                                              ,4/28/2018
Mom or Dad and Me (3-5 yrs)             ,Mount Vernon RECenter                   ,9:35am Sat                                                                                           ,4/28/2018
Snowplow Sam 1 (3-5 yrs)                ,Mount Vernon RECenter                   ,9:35am Sat                                                                                           ,4/28/2018
Snowplow Sam 1 (3-5 yrs)                ,Mount Vernon RECenter                   ,10:45am Sat                                                                                          ,4/28/2018
Snowplow Sam 2 (3-5 yrs)                ,Mount Vernon RECenter                   ,9:35am Sat                                                                                           ,4/28/2018
Snowplow Sam 2 (3-5 yrs)                ,Mount Vernon RECenter                   ,10:45am Sat                                                                                          ,4/28/2018
Snowplow Sam 3 (3-5 yrs)                ,Mount Vernon RECenter                   ,10:45am Sat                                                                                          ,4/28/2018
Swimming II for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,5:50pm Tue/Thu                                                                                       ,5/1/2018
Swimming II for Children (6-12 yrs.)    ,South Run RECenter                      ,6:50pm Tue/Thu                                                                                       ,5/1/2018
Swimming II for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,7:15pm Tue/Thu                                                                                       ,5/1/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,5:40pm Tue/Thu                                                                                       ,5/1/2018
Swimming I for Children (6-12 yrs)      ,South Run RECenter                      ,6pm Tue/Thu                                                                                          ,5/1/2018
Pee Wee Paddler VI (4-7 yrs)            ,Oak Marr RECenter                       ,5:30pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler VI (4-7 yrs)            ,Spring Hill RECenter                    ,7:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,5:10pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler V (4-6 yrs.)            ,Spring Hill RECenter                    ,5:15pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler V (4-6 yrs.)            ,Oak Marr RECenter                       ,5:30pm Tue/Thu                                                                                       ,5/1/2018
Stroke Mechanics I (6-12 yrs.)          ,South Run RECenter                      ,8:05pm Tue/Thu                                                                                       ,5/1/2018
Swim Team Prep Class (6-17 yrs)         ,Spring Hill RECenter                    ,8pm Tue/Thu                                                                                          ,5/1/2018
Stroke Mechanics I (6-12 yrs.)          ,Oak Marr RECenter                       ,6pm Tue/Thu                                                                                          ,5/1/2018
Lap Swim (13-Adult)                     ,South Run RECenter                      ,9:30am Tue/Thu                                                                                       ,5/1/2018
Lap Swim Lite (13-Adult)                ,South Run RECenter                      ,10:30am Tue/Thu                                                                                      ,5/1/2018
Lap Swim (13-Adult)                     ,Oak Marr RECenter                       ,7:50pm Tue/Thu                                                                                       ,5/1/2018
Swimming II - Teens & Adults (13-Adult) ,Spring Hill RECenter                    ,7pm Tue/Thu                                                                                          ,5/1/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,1pm Tue/Thu                                                                                          ,5/1/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,7:50pm Tue/Thu                                                                                       ,5/1/2018
Swimming VI for Children (6-12 yrs)     ,South Run RECenter                      ,7pm Tue/Thu                                                                                          ,5/1/2018
Swimming II for Children (6-12 yrs.)    ,South Run RECenter                      ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Swimming III for Children (6-12 yrs.)   ,Oak Marr RECenter                       ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Swimming III for Children (6-12 yrs.)   ,South Run RECenter                      ,7:15pm Mon/Wed                                                                                       ,4/30/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,7:20pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,5:30pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,South Run RECenter                      ,6:05pm Mon/Wed                                                                                       ,4/30/2018
Preschooler and Me Swim (3-5 yrs)       ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Oak Marr RECenter                       ,6:05pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,South Run RECenter                      ,6:40pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler III (4-6 yrs.)          ,Oak Marr RECenter                       ,6:40pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler III (4-6 yrs.)          ,South Run RECenter                      ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Oak Marr RECenter                       ,2:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler II (3-5 yrs.)           ,Oak Marr RECenter                       ,6:05pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,4pm Tue/Thu                                                                                          ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,9:35am Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,4pm Tue/Thu                                                                                          ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,5:45pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,South Run RECenter                      ,6:05pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,2pm Tue/Thu                                                                                          ,5/1/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,6:05pm Tue/Thu                                                                                       ,5/1/2018
Preschooler and Me Swim (3-5 yrs)       ,Oak Marr RECenter                       ,3:45pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,4:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,6:40pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler IV (4-6 yrs)            ,South Run RECenter                      ,7:15pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,4:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,5:10pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,5:10pm Tue/Thu                                                                                       ,5/1/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,4pm Tue/Thu                                                                                          ,5/1/2018
Swimming III for Children (6-12 yrs.)   ,South Run RECenter                      ,6:10pm Tue/Thu                                                                                       ,5/1/2018
Swimming III for Children (6-12 yrs.)   ,Oak Marr RECenter                       ,7:15pm Tue/Thu                                                                                       ,5/1/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,4:50pm Tue/Thu                                                                                       ,5/1/2018
Paddleboard Yoga (13-Adult)             ,South Run RECenter                      ,6:45pm Thu                                                                                           ,5/3/2018
T-Shirt Quilting (9-Adult)              ,Audrey Moore RECenter                   ,6:30pm Thu                                                                                           ,5/3/2018
T-Shirt Quilting (9-Adult)              ,Lake Fairfax Park                       ,6:30pm Fri                                                                                           ,5/4/2018
Homeschool Snowplow Sam 1 (3-5 yrs)     ,Mount Vernon RECenter                   ,10:15am Fri                                                                                          ,5/4/2018
Homeschool Snowplow Sam 2 (3-5 yrs)     ,Mount Vernon RECenter                   ,10:45am Fri                                                                                          ,5/4/2018
Homeschool Basic 1 (6-13 yrs)           ,Mount Vernon RECenter                   ,9:15am Fri                                                                                           ,5/4/2018
Homeschool Basic 2 (6-13 yrs)           ,Mount Vernon RECenter                   ,9:45am Fri                                                                                           ,5/4/2018
Jedi Engineering w/LEGO II (5-12 ys)    ,Oak View Elementary School              ,6pm Fri                                                                                              ,5/4/2018
BGS-Wonders of Water                    ,Hidden Oaks Nature Center               ,6pm Fri                                                                                              ,5/4/2018
What's Growing in the Garden?           ,Frying Pan Park                         ,9:30am Fri                                                                                           ,5/4/2018
Garden Talk: Rock Gardening             ,Green Spring Gardens Park               ,1:30pm Fri                                                                                           ,5/4/2018
Family Owl Outing                       ,Huntley Meadows Park                    ,7pm Fri                                                                                              ,5/4/2018
Survival Skills                         ,Hidden Pond Nature Center               ,5pm Fri                                                                                              ,5/4/2018
Mid-Century Meals                       ,Ellanor C. Lawrence Park                ,7pm Fri                                                                                              ,5/4/2018
Pink Lady's Slipper Walk                ,Roundtree Park                          ,12:30pm Sat                                                                                          ,5/5/2018
Night Hike & S'mores Campfire           ,Hidden Oaks Nature Center               ,7:30pm Sat                                                                                           ,5/5/2018
Animal Skull & Spine Stories            ,Huntley Meadows Park                    ,12pm Sat                                                                                             ,5/5/2018
Feeding Day!                            ,Ellanor C. Lawrence Park                ,10am Sat                                                                                             ,5/5/2018
Family Fun: Worm Workshop Program Only  ,Green Spring Gardens Park               ,10am Sat                                                                                             ,5/5/2018
Family Fun: Worm Workshop with Worm Kit ,Green Spring Gardens Park               ,10am Sat                                                                                             ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Spring Hill RECenter                    ,9am Sat                                                                                              ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Spring Hill RECenter                    ,10:40am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,George Washington RECenter              ,10:35am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Mount Vernon RECenter                   ,9:30am Sat                                                                                           ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,South Run RECenter                      ,10:25am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Audrey Moore RECenter                   ,10:05am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,10:50am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,11:50am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Lee District RECenter                   ,11:25am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Providence RECenter                     ,10am Sat                                                                                             ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Mount Vernon RECenter                   ,8:30am Sat                                                                                           ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Spring Hill RECenter                    ,10am Sat                                                                                             ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Spring Hill RECenter                    ,11:50am Sat                                                                                          ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Audrey Moore RECenter                   ,9am Sat                                                                                              ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,South Run RECenter                      ,11:25am Sat                                                                                          ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Oak Marr RECenter                       ,9:55am Sat                                                                                           ,5/5/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,12:30pm Sat                                                                                          ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Lee District RECenter                   ,8am Sat                                                                                              ,5/5/2018
Swimming VI for Children (6-12 yrs)     ,Providence RECenter                     ,11am Sat                                                                                             ,5/5/2018
Plants & Design: Hummingbird Garden     ,Green Spring Gardens Park               ,9:30am Sat                                                                                           ,5/5/2018
History Discussions at Huntley          ,Historic Huntley                        ,3pm Sat                                                                                              ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,9:50am Sat                                                                                           ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,11:40am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,South Run RECenter                      ,9am Sat                                                                                              ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,South Run RECenter                      ,10am Sat                                                                                             ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Providence RECenter                     ,9:10am Sat                                                                                           ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Providence RECenter                     ,12pm Sat                                                                                             ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,8am Sat                                                                                              ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,10:55am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,11:40am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,12:50pm Sat                                                                                          ,5/5/2018
